acc.x, acc.y, acc.z, gyro.x, gyro.y, gyro.z, magn.x, magn.y, magn.z, roll, pitch, yaw, roll_var, pitch_var, yaw_var, kf_dt, throttle, command_roll, command_pitch, command_yaw, pid_roll, pid_pitch, pid_yaw, motors_armed, m1_speed, m2_speed, m3_speed, m4_speed
-0.719043, -0.363111, 9.841081, 0.016188, 0.058490, 0.004581, 7.512424, 3.463899, -45.206078, 2.128848, 0.730489, 152.535965, 0.075955, 0.017287, 0.001324, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.128848, -0.730489, -0.000000, 0, 1080, 1087, 1094, 1080
-0.714856, -0.387039, 9.812965, 0.012523, 0.068570, 0.001680, 6.840106, 3.390821, -45.673779, 0.864373, 0.200469, 152.411835, 0.075933, 0.017281, 0.001324, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.864373, -0.200469, 0.000000, 0, 1080, 1083, 1085, 1080
-0.720838, -0.404387, 9.837492, 0.018631, 0.064141, 0.001374, 6.825490, 3.259281, -45.469162, 2.048549, 0.898552, 152.561676, 0.075909, 0.017277, 0.001323, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.048549, -0.898552, -0.000000, 0, 1080, 1085, 1095, 1080
-0.715454, -0.381655, 9.845867, 0.020617, 0.070555, 0.002291, 6.767027, 3.639287, -45.220695, 0.899631, 0.152328, 152.434174, 0.075884, 0.017273, 0.001323, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.899631, -0.152328, 0.000000, 0, 1080, 1083, 1085, 1080
-0.712463, -0.388834, 9.855439, 0.016341, 0.064446, 0.000305, 7.190880, 3.770827, -45.790707, 2.081448, 0.846510, 152.568146, 0.075860, 0.017269, 0.001322, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.081448, -0.846510, -0.000000, 0, 1080, 1086, 1094, 1080
-0.717847, -0.381655, 9.857233, 0.015577, 0.072388, -0.004734, 7.556270, 4.180064, -46.068401, 0.898446, 0.156934, 152.424622, 0.075836, 0.017265, 0.001322, 79932, 0.000000, 0.000000, 0.000000, 0.000000, -0.898446, -0.156934, 0.000000, 0, 1080, 1083, 1085, 1080
-0.726222, -0.363709, 9.811171, 0.017715, 0.074678, -0.002596, 7.190880, 4.106986, -45.659164, 2.042328, 0.907465, 152.519699, 0.075811, 0.017261, 0.001321, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.042328, -0.907465, -0.000000, 0, 1080, 1085, 1095, 1080
-0.733400, -0.393619, 9.834501, 0.014661, 0.065821, -0.000153, 6.825490, 3.960830, -45.264542, 0.847094, 0.237014, 152.377182, 0.075788, 0.017257, 0.001321, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.847094, -0.237014, 0.000000, 0, 1080, 1083, 1085, 1080
-0.717249, -0.388834, 9.839885, 0.019395, 0.063835, 0.004734, 7.322420, 4.326220, -46.024555, 2.081480, 0.785731, 152.460327, 0.075765, 0.017251, 0.001320, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.081480, -0.785731, -0.000000, 0, 1080, 1086, 1094, 1080
-0.716650, -0.379262, 9.853046, 0.014355, 0.064141, -0.000458, 7.132418, 3.814674, -45.366852, 0.873369, 0.139387, 152.324890, 0.075741, 0.017247, 0.001320, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.873369, -0.139387, 0.000000, 0, 1080, 1083, 1085, 1080
-0.696311, -0.399003, 9.840484, 0.021533, 0.068570, 0.003054, 7.044724, 3.829290, -45.206078, 2.100170, 0.742190, 152.458237, 0.075718, 0.017242, 0.001319, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.100170, -0.742190, -0.000000, 0, 1080, 1086, 1094, 1080
